Date : 2023-11-13 08:33:22
Directory : /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023
Total : 147 files,  6583 codes, 44 comments, 533 blanks, all 7160 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          2 |      4,638 |          0 |          2 |      4,640 |
| TypeScript |         73 |      1,099 |          6 |        286 |      1,391 |
| JavaScript |         15 |        498 |         23 |        101 |        622 |
| SQL        |          1 |        203 |         14 |         57 |        274 |
| HTML       |         26 |        103 |          0 |         33 |        136 |
| Markdown   |          4 |         39 |          0 |         29 |         68 |
| SCSS       |         26 |          3 |          1 |         25 |         29 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                     | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                        |        147 |      6,583 |         44 |        533 |      7,160 |
| ng-client                                                                                                                                                                |        127 |      1,229 |          7 |        358 |      1,594 |
| ng-client (Files)                                                                                                                                                        |          1 |         14 |          0 |         14 |         28 |
| ng-client/src                                                                                                                                                            |        126 |      1,215 |          7 |        344 |      1,566 |
| ng-client/src (Files)                                                                                                                                                    |          3 |         17 |          1 |          6 |         24 |
| ng-client/src/app                                                                                                                                                        |        123 |      1,198 |          6 |        338 |      1,542 |
| ng-client/src/app (Files)                                                                                                                                                |          6 |         86 |          0 |         17 |        103 |
| ng-client/src/app/contact-form                                                                                                                                           |          4 |         73 |          0 |         13 |         86 |
| ng-client/src/app/models                                                                                                                                                 |          1 |          6 |          0 |          1 |          7 |
| ng-client/src/app/modules                                                                                                                                                |        112 |      1,033 |          6 |        307 |      1,346 |
| ng-client/src/app/modules/blog                                                                                                                                           |         10 |         78 |          0 |         27 |        105 |
| ng-client/src/app/modules/blog (Files)                                                                                                                                   |          2 |         26 |          0 |          7 |         33 |
| ng-client/src/app/modules/blog/posts                                                                                                                                     |          8 |         52 |          0 |         20 |         72 |
| ng-client/src/app/modules/blog/posts/component-post                                                                                                                      |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/blog/posts/status-update                                                                                                                       |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/component-manager                                                                                                                              |          2 |         19 |          0 |          7 |         26 |
| ng-client/src/app/modules/ecommerce                                                                                                                                      |          2 |         19 |          0 |          7 |         26 |
| ng-client/src/app/modules/social                                                                                                                                         |         48 |        473 |          6 |        139 |        618 |
| ng-client/src/app/modules/social (Files)                                                                                                                                 |          2 |         52 |          0 |         10 |         62 |
| ng-client/src/app/modules/social/component-post                                                                                                                          |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/social/followers-list                                                                                                                          |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/social/friends-list                                                                                                                            |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/social/home                                                                                                                                    |          4 |         38 |          0 |         11 |         49 |
| ng-client/src/app/modules/social/models                                                                                                                                  |          2 |         16 |          0 |          1 |         17 |
| ng-client/src/app/modules/social/ng-chat                                                                                                                                 |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/social/ng-newsfeed                                                                                                                             |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/social/relationship                                                                                                                            |          4 |         79 |          3 |         16 |         98 |
| ng-client/src/app/modules/social/services                                                                                                                                |          4 |         80 |          3 |         21 |        104 |
| ng-client/src/app/modules/social/status-update                                                                                                                           |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/social/video                                                                                                                                   |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/social/video-post                                                                                                                              |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/task-manager                                                                                                                                   |         23 |        246 |          0 |         60 |        306 |
| ng-client/src/app/modules/task-manager (Files)                                                                                                                           |          2 |         46 |          0 |          5 |         51 |
| ng-client/src/app/modules/task-manager/add-task                                                                                                                          |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/task-manager/edit-task                                                                                                                         |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/task-manager/models                                                                                                                            |          1 |         20 |          0 |          2 |         22 |
| ng-client/src/app/modules/task-manager/new-task-form                                                                                                                     |          4 |         74 |          0 |         13 |         87 |
| ng-client/src/app/modules/task-manager/task-list                                                                                                                         |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/task-manager/task-manager                                                                                                                      |          4 |         28 |          0 |         10 |         38 |
| ng-client/src/app/modules/user                                                                                                                                           |         27 |        198 |          0 |         67 |        265 |
| ng-client/src/app/modules/user (Files)                                                                                                                                   |          3 |         42 |          0 |          7 |         49 |
| ng-client/src/app/modules/user/add-user                                                                                                                                  |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/user/login                                                                                                                                     |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/user/login-form                                                                                                                                |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/user/profile                                                                                                                                   |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/user/register                                                                                                                                  |          4 |         26 |          0 |         10 |         36 |
| ng-client/src/app/modules/user/register-form                                                                                                                             |          4 |         26 |          0 |         10 |         36 |
| server                                                                                                                                                                   |         20 |      5,354 |         37 |        175 |      5,566 |
| server (Files)                                                                                                                                                           |          3 |      4,653 |          0 |          4 |      4,657 |
| server/controllers                                                                                                                                                       |          7 |        449 |         22 |         90 |        561 |
| server/database                                                                                                                                                          |          1 |        203 |         14 |         57 |        274 |
| server/docs                                                                                                                                                              |          2 |         15 |          0 |         15 |         30 |
| server/routes                                                                                                                                                            |          5 |         15 |          0 |          7 |         22 |
| server/utility                                                                                                                                                           |          2 |         19 |          1 |          2 |         22 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                                                                 | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/README.md                                                                  | Markdown   |         14 |          0 |         14 |         28 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/app-routing.module.ts                                              | TypeScript |         25 |          0 |          5 |         30 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/app.component.html                                                 | HTML       |          3 |          0 |          0 |          3 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/app.component.scss                                                 | SCSS       |          0 |          0 |          1 |          1 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/app.component.spec.ts                                              | TypeScript |         25 |          0 |          5 |         30 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/app.component.ts                                                   | TypeScript |          9 |          0 |          2 |         11 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/app.module.ts                                                      | TypeScript |         24 |          0 |          4 |         28 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/contact-form/contact-form.component.html                           | HTML       |         19 |          0 |          4 |         23 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/contact-form/contact-form.component.scss                           | SCSS       |          0 |          0 |          1 |          1 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/contact-form/contact-form.component.spec.ts                        | TypeScript |         17 |          0 |          5 |         22 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/contact-form/contact-form.component.ts                             | TypeScript |         37 |          0 |          3 |         40 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/models/contact-form-data.ts                                        | TypeScript |          6 |          0 |          1 |          7 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/blog/blog-routing.module.ts                                | TypeScript |          8 |          0 |          3 |         11 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/blog/blog.module.ts                                        | TypeScript |         18 |          0 |          4 |         22 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/blog/posts/component-post/component-post.component.html    | HTML       |          1 |          0 |          1 |          2 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/blog/posts/component-post/component-post.component.scss    | SCSS       |          0 |          0 |          1 |          1 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/blog/posts/component-post/component-post.component.spec.ts | TypeScript |         17 |          0 |          5 |         22 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/blog/posts/component-post/component-post.component.ts      | TypeScript |          8 |          0 |          3 |         11 |
| /Users/darrellparkhouse/projects/html-scss/portfolio-angular-2023/ng-portfolio-2023/ng-client/src/app/modules/blog/posts/status-update/status-update.component.html      | HTML       |          1 |          0 |          1 |          2 |
